dataset,backbone,method,seed,nalrp20,log
Amazon-VG,MF,base,22,0.67133,log/runs/v3_Amazon-VG_MF_base_s22_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,20,0.72215,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s20_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,21,0.7243,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s21_test_k20_train.log
Amazon-VG,SimGCL,CausalEPP,22,0.7208,log/runs/v3_Amazon-VG_SimGCL_final_CausalEPP_CEPP_sm64a0.25_s22_test_k20_train.log
Amazon-VG,SimGCL,DDC,20,0.74064,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s20_test_k20_train.log
Amazon-VG,SimGCL,DDC,21,0.74003,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s21_test_k20_train.log
Amazon-VG,SimGCL,DDC,22,0.73747,log/runs/v3_Amazon-VG_SimGCL_final_DDC_DDC_k0.3_s22_test_k20_train.log
Amazon-VG,SimGCL,DICE,20,0.60875,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,SimGCL,DICE,21,0.60792,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,SimGCL,DICE,22,0.60971,log/runs/v3_Amazon-VG_SimGCL_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,SimGCL,IPS,20,0.68185,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s20_test_k20_train.log
Amazon-VG,SimGCL,IPS,21,0.70796,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s21_test_k20_train.log
Amazon-VG,SimGCL,IPS,22,0.72278,log/runs/v3_Amazon-VG_SimGCL_final_IPS_IPS_l30_s22_test_k20_train.log
Amazon-VG,SimGCL,PDA,20,0.7452,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,SimGCL,PDA,21,0.74601,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,SimGCL,PDA,22,0.74476,log/runs/v3_Amazon-VG_SimGCL_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,SimGCL,STFR,20,0.69176,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s20_test_k20.log
Amazon-VG,SimGCL,STFR,21,0.69168,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s21_test_k20.log
Amazon-VG,SimGCL,STFR,22,0.6899,log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s22_test_k20.log
Amazon-VG,SimGCL,TIDE,20,0.71705,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s20_test_k20_train.log
Amazon-VG,SimGCL,TIDE,21,0.72178,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s21_test_k20_train.log
Amazon-VG,SimGCL,TIDE,22,0.71831,log/runs/v3_Amazon-VG_SimGCL_final_TIDE_TIDE_q-1b-3_tau3000000_s22_test_k20_train.log
Amazon-VG,SimGCL,base,20,0.72152,log/runs/v3_Amazon-VG_SimGCL_base_s20_test_k20_train.log
Amazon-VG,SimGCL,base,21,0.72239,log/runs/v3_Amazon-VG_SimGCL_base_s21_test_k20_train.log
Amazon-VG,SimGCL,base,22,0.71927,log/runs/v3_Amazon-VG_SimGCL_base_s22_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,20,0.91785,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s20_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,21,0.91707,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s21_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,22,0.91764,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s22_test_k20_train.log
Douban-movie,LightGCN,DDC,20,0.91287,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Douban-movie,LightGCN,DDC,21,0.91285,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Douban-movie,LightGCN,DDC,22,0.91411,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Douban-movie,LightGCN,DICE,20,0.68162,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s20_test_k20_train.log
Douban-movie,LightGCN,DICE,21,0.68239,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s21_test_k20_train.log
Douban-movie,LightGCN,DICE,22,0.71717,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s22_test_k20_train.log
Douban-movie,LightGCN,IPS,20,0.85791,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s20_test_k20_train.log
Douban-movie,LightGCN,IPS,21,0.80365,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s21_test_k20_train.log
Douban-movie,LightGCN,IPS,22,0.77522,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s22_test_k20_train.log
Douban-movie,LightGCN,PDA,20,0.89945,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s20_test_k20_train.log
Douban-movie,LightGCN,PDA,21,0.90047,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s21_test_k20_train.log
Douban-movie,LightGCN,PDA,22,0.90005,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s22_test_k20_train.log
Douban-movie,LightGCN,STFR,20,0.69514,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s20_test_k20.log
Douban-movie,LightGCN,STFR,21,0.70323,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s21_test_k20.log
Douban-movie,LightGCN,STFR,22,0.69793,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s22_test_k20.log
Douban-movie,LightGCN,TIDE,20,0.83799,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s20_test_k20_train.log
Douban-movie,LightGCN,TIDE,21,0.81958,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s21_test_k20_train.log
Douban-movie,LightGCN,TIDE,22,0.84011,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s22_test_k20_train.log
Douban-movie,LightGCN,base,20,0.91341,log/runs/v3_Douban-movie_LightGCN_base_s20_test_k20_train.log
Douban-movie,LightGCN,base,21,0.9134,log/runs/v3_Douban-movie_LightGCN_base_s21_test_k20_train.log
Douban-movie,LightGCN,base,22,0.91201,log/runs/v3_Douban-movie_LightGCN_base_s22_test_k20_train.log
Douban-movie,MF,CausalEPP,20,0.79611,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s20_test_k20_train.log
Douban-movie,MF,CausalEPP,21,0.80961,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s21_test_k20_train.log
Douban-movie,MF,CausalEPP,22,0.79993,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s22_test_k20_train.log
Douban-movie,MF,DDC,20,0.79223,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s20_test_k20_train.log
Douban-movie,MF,DDC,21,0.79692,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s21_test_k20_train.log
Douban-movie,MF,DDC,22,0.80301,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s22_test_k20_train.log
Douban-movie,MF,DICE,20,0.68037,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s20_test_k20_train.log
Douban-movie,MF,DICE,21,0.69986,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s21_test_k20_train.log
Douban-movie,MF,DICE,22,0.68102,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s22_test_k20_train.log
Douban-movie,MF,IPS,20,0.73878,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s20_test_k20_train.log
Douban-movie,MF,IPS,21,0.79945,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s21_test_k20_train.log
Douban-movie,MF,IPS,22,0.77374,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s22_test_k20_train.log
Douban-movie,MF,PDA,20,0.74429,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s20_test_k20_train.log
Douban-movie,MF,PDA,21,0.74094,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s21_test_k20_train.log
Douban-movie,MF,PDA,22,0.74086,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s22_test_k20_train.log
Douban-movie,MF,STFR,20,0.70555,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s20_test_k20.log
Douban-movie,MF,STFR,21,0.71041,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s21_test_k20.log
Douban-movie,MF,STFR,22,0.70952,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s22_test_k20.log
Douban-movie,MF,TIDE,20,0.70706,log/runs/v3_Douban-movie_MF_final_TIDE_TIDE_qdefaultbdefault_tau10000000_s20_test_k20_train.log
Douban-movie,MF,TIDE,21,0.71341,log/runs/v3_Douban-movie_MF_final_TIDE_TIDE_qdefaultbdefault_tau10000000_s21_test_k20_train.log
