dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-VG,LightGCN,CausalEPP,22,0.0679,0.03007,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s22_test_k20_train.log
Amazon-VG,LightGCN,STFR,20,0.12682,0.06198,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s20_test_k20.log
Amazon-VG,LightGCN,STFR,21,0.11807,0.06231,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s21_test_k20.log
Amazon-VG,LightGCN,STFR,22,0.12003,0.06171,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s22_test_k20.log
Amazon-Movies,LightGCN,base,20,0.04989,0.02338,log/runs/v3_Amazon-Movies_LightGCN_base_s20_test_k20_train.log
Amazon-Movies,LightGCN,base,21,0.05058,0.02323,log/runs/v3_Amazon-Movies_LightGCN_base_s21_test_k20_train.log
Amazon-Movies,LightGCN,base,22,0.05078,0.02351,log/runs/v3_Amazon-Movies_LightGCN_base_s22_test_k20_train.log
Amazon-Movies,LightGCN,IPS,20,0.04637,0.02269,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s20_test_k20_train.log
Amazon-Movies,LightGCN,IPS,21,0.04269,0.02094,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s21_test_k20_train.log
Amazon-Movies,LightGCN,IPS,22,0.04646,0.02176,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s22_test_k20_train.log
Amazon-Movies,LightGCN,DICE,20,0.04046,0.01997,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s20_test_k20_train.log
Amazon-Movies,LightGCN,DICE,21,0.03874,0.01865,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s21_test_k20_train.log
Amazon-Movies,LightGCN,DICE,22,0.03628,0.01756,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s22_test_k20_train.log
Amazon-Movies,LightGCN,DDC,20,0.04724,0.02184,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-Movies,LightGCN,DDC,21,0.04463,0.02048,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-Movies,LightGCN,DDC,22,0.04825,0.02246,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-Movies,LightGCN,PDA,20,0.06228,0.02679,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-Movies,LightGCN,PDA,21,0.06255,0.02663,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-Movies,LightGCN,PDA,22,0.0621,0.02616,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-Movies,LightGCN,TIDE,20,0.06863,0.02858,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-Movies,LightGCN,TIDE,21,0.06478,0.02823,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-Movies,LightGCN,TIDE,22,0.06485,0.02764,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-Movies,LightGCN,CausalEPP,20,0.04914,0.02274,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s20_test_k20_train.log
Amazon-Movies,LightGCN,CausalEPP,21,0.05039,0.02312,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s21_test_k20_train.log
Amazon-Movies,LightGCN,CausalEPP,22,0.04966,0.0228,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s22_test_k20_train.log
Amazon-Movies,LightGCN,STFR,20,0.08051,0.03915,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s20_test_k20.log
Amazon-Movies,LightGCN,STFR,21,0.08147,0.03942,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s21_test_k20.log
Amazon-Movies,LightGCN,STFR,22,0.08043,0.03967,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s22_test_k20.log
Douban-movie,LightGCN,base,20,0.02217,0.02012,log/runs/v3_Douban-movie_LightGCN_base_s20_test_k20_train.log
Douban-movie,LightGCN,base,21,0.02249,0.02021,log/runs/v3_Douban-movie_LightGCN_base_s21_test_k20_train.log
Douban-movie,LightGCN,base,22,0.02197,0.02003,log/runs/v3_Douban-movie_LightGCN_base_s22_test_k20_train.log
Douban-movie,LightGCN,IPS,20,0.0342,0.02742,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s20_test_k20_train.log
Douban-movie,LightGCN,IPS,21,0.03372,0.02691,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s21_test_k20_train.log
Douban-movie,LightGCN,IPS,22,0.03162,0.02593,log/runs/v3_Douban-movie_LightGCN_final_IPS_IPS_l10_s22_test_k20_train.log
Douban-movie,LightGCN,DICE,20,0.02644,0.02054,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s20_test_k20_train.log
Douban-movie,LightGCN,DICE,21,0.02747,0.02146,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s21_test_k20_train.log
Douban-movie,LightGCN,DICE,22,0.02959,0.02309,log/runs/v3_Douban-movie_LightGCN_final_DICE_DICE_a0.2_s22_test_k20_train.log
Douban-movie,LightGCN,DDC,20,0.02232,0.02056,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Douban-movie,LightGCN,DDC,21,0.02302,0.02092,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Douban-movie,LightGCN,DDC,22,0.02159,0.01999,log/runs/v3_Douban-movie_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Douban-movie,LightGCN,PDA,20,0.05681,0.04667,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s20_test_k20_train.log
Douban-movie,LightGCN,PDA,21,0.05701,0.04611,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s21_test_k20_train.log
Douban-movie,LightGCN,PDA,22,0.05679,0.04628,log/runs/v3_Douban-movie_LightGCN_final_PDA_g0.25a0.1_s22_test_k20_train.log
Douban-movie,LightGCN,TIDE,20,0.07839,0.05954,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s20_test_k20_train.log
Douban-movie,LightGCN,TIDE,21,0.07953,0.0606,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s21_test_k20_train.log
Douban-movie,LightGCN,TIDE,22,0.07796,0.05972,log/runs/v3_Douban-movie_LightGCN_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s22_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,20,0.03258,0.02703,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s20_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,21,0.03172,0.0262,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s21_test_k20_train.log
Douban-movie,LightGCN,CausalEPP,22,0.0321,0.02682,log/runs/v3_Douban-movie_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s22_test_k20_train.log
Douban-movie,LightGCN,STFR,20,0.12018,0.07643,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s20_test_k20.log
Douban-movie,LightGCN,STFR,21,0.12063,0.0756,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s21_test_k20.log
Douban-movie,LightGCN,STFR,22,0.11919,0.07482,log/runs/v3nob_final_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_s22_test_k20.log
Amazon-VG,SimGCL,base,20,0.07281,0.03513,log/runs/v3_Amazon-VG_SimGCL_base_s20_test_k20_train.log
Amazon-VG,SimGCL,base,21,0.07623,0.03735,log/runs/v3_Amazon-VG_SimGCL_base_s21_test_k20_train.log
